timestamp,seconds_elapsed,total_queries,hit_rate
12:59:02,16.41,100,54.0
12:59:23,37.71,500,90.0
12:59:47,61.0,700,92.71
13:00:34,108.15,1100,90.91
13:00:56,130.11,1200,91.25
13:01:13,147.2,1300,89.54
13:01:51,185.08,1800,91.67
13:02:12,206.17,2000,91.0
13:02:35,229.24,2100,90.62
13:03:14,268.27,2600,91.5
13:03:34,288.9,2800,91.39
13:03:56,310.46,2900,91.41
13:04:20,334.67,3200,91.41
13:04:41,355.89,3300,91.27
13:05:43,417.86,3700,90.86
13:06:48,482.35,4300,91.12
13:07:27,521.44,4700,91.3
13:07:48,542.44,4900,91.24
13:08:06,560.29,5000,91.16
13:09:46,660.75,5900,91.25
13:10:24,698.87,6300,91.33
13:11:31,765.77,6800,91.24
13:11:52,785.92,7000,91.26
13:11:53,786.96,7100,91.37
13:12:13,806.94,7200,91.31
13:12:55,849.51,7600,91.28
13:13:16,870.29,7700,91.25
13:13:58,912.52,8200,91.34
13:15:22,996.68,8800,91.3
13:15:46,1020.89,9100,91.36
13:16:09,1043.21,9300,91.39
13:16:29,1063.14,9400,91.32
13:17:15,1109.47,9900,91.34
13:17:39,1133.2,10000,91.32
13:18:00,1154.55,10200,91.34
13:18:43,1197.13,10700,91.4
13:19:02,1216.72,10900,91.46
13:19:27,1241.3,11100,91.4
13:19:46,1260.85,11300,91.42
13:20:06,1280.13,11400,91.43
13:20:27,1301.63,11600,91.35
13:20:47,1321.37,11700,91.37
13:21:31,1365.13,12100,91.37
13:22:33,1427.36,12600,91.33
13:22:53,1447.6,12700,91.28
13:23:33,1487.4,13100,91.34
13:23:57,1510.91,13300,91.33
13:25:03,1577.18,13700,91.19
13:25:20,1594.35,13800,91.18
13:25:41,1615.57,13900,91.21
13:25:59,1633.19,14000,91.13
13:26:56,1690.59,14500,91.17
13:27:20,1714.06,14600,91.06
13:27:42,1735.94,14700,91.04
13:29:02,1816.75,15300,91.0
13:29:41,1855.5,15600,90.96
13:30:02,1876.08,15700,90.96
13:30:42,1916.77,16100,90.93
13:31:03,1937.23,16300,90.99
13:31:25,1959.19,16500,91.01
13:32:10,2004.26,17000,91.07
13:33:16,2070.42,17800,91.19
13:34:21,2135.32,18400,91.2
13:35:19,2193.8,18900,91.19
13:36:02,2236.14,19400,91.21
13:37:41,2335.4,20100,91.18
13:38:23,2377.83,20400,91.2
13:38:44,2398.59,20600,91.17
13:39:11,2425.25,21100,91.31
13:40:31,2505.56,21800,91.3
13:41:14,2548.49,22300,91.38
13:42:17,2611.31,22900,91.39
13:43:40,2693.99,23400,91.29
13:45:13,2787.21,24200,91.29
13:46:38,2872.42,24800,91.27
13:46:57,2891.74,25000,91.29
13:47:18,2912.47,25100,91.26
13:47:37,2931.21,25200,91.25
13:48:45,2999.24,25700,91.22
13:49:02,3016.16,25800,91.22
13:49:23,3037.44,25900,91.18
13:49:45,3059.25,26000,91.15
13:50:21,3095.65,26300,91.15
13:50:38,3112.45,26400,91.14
13:51:00,3134.51,26500,91.1
13:51:22,3156.54,26700,91.09
13:52:02,3195.91,27100,91.11
13:53:23,3277.43,27900,91.15
13:53:42,3296.78,28000,91.14
13:54:00,3314.17,28100,91.15
13:54:01,3315.21,28200,91.15
13:55:25,3399.72,28900,91.13
13:55:46,3420.73,29000,91.12
13:56:29,3463.09,29500,91.16
13:56:30,3464.14,29600,91.17
13:59:01,3615.6,30800,91.16
13:59:19,3633.87,31000,91.19
14:00:17,3690.94,31500,91.19
14:00:56,3730.49,31800,91.16
14:01:37,3771.8,32200,91.19
14:01:53,3787.73,32300,91.17
14:02:17,3811.87,32500,91.16
14:02:35,3828.99,32600,91.17
14:02:51,3845.51,32700,91.16
14:03:14,3868.53,32800,91.12
14:03:36,3890.81,33000,91.13
14:03:37,3891.86,33100,91.15
14:03:56,3910.21,33200,91.16
14:04:36,3950.36,33600,91.15
14:04:59,3973.85,34000,91.21
14:05:23,3997.07,34100,91.2
14:05:40,4014.18,34200,91.17
14:05:57,4031.15,34400,91.18
14:06:19,4053.81,34600,91.2
14:06:41,4075.44,34800,91.19
14:07:02,4096.62,34900,91.16
14:07:44,4138.73,35300,91.19
14:07:45,4139.77,35400,91.2
14:08:25,4179.13,35900,91.25
14:09:05,4219.24,36500,91.29
14:09:51,4265.12,36900,91.3
14:11:09,4343.45,37400,91.25
14:11:53,4387.21,37800,91.27
14:12:14,4408.41,38100,91.28
14:12:36,4430.29,38300,91.3
14:12:58,4452.33,38500,91.29
14:13:37,4491.49,38800,91.28
14:13:59,4513.01,38900,91.27
14:14:39,4553.35,39200,91.25
14:15:26,4600.58,39500,91.23
14:16:11,4645.18,39900,91.24
14:16:31,4665.47,40000,91.22
14:16:49,4683.51,40100,91.2
14:17:36,4730.03,40600,91.24
14:17:57,4751.05,40700,91.23
14:18:17,4771.51,41000,91.24
14:18:37,4791.0,41200,91.25
14:20:02,4876.21,41800,91.22
14:20:03,4877.25,41900,91.24
14:20:29,4903.07,42100,91.24
14:20:30,4904.1,42200,91.25
14:20:48,4922.76,42300,91.26
14:21:07,4941.8,42500,91.25
14:21:26,4960.76,42600,91.24
14:22:48,5042.32,43200,91.22
14:23:10,5064.82,43300,91.21
14:25:25,5199.14,44400,91.18
14:26:08,5242.14,44700,91.18
14:26:48,5282.35,45100,91.2
14:27:27,5321.76,45500,91.2
14:28:28,5382.68,45900,91.2
14:28:48,5402.59,46200,91.19
14:30:46,5520.15,47100,91.19
14:32:51,5645.15,48400,91.24
14:33:32,5686.75,48700,91.23
14:35:18,5792.2,49600,91.21
14:35:37,5811.62,49700,91.21
14:35:38,5812.66,49800,91.22
14:35:56,5830.28,50000,91.24
14:36:38,5872.38,50400,91.24
14:36:39,5873.43,50500,91.24
14:36:40,5874.47,50600,91.26
14:37:02,5896.02,50900,91.3
14:38:42,5996.17,51800,91.29
14:39:02,6016.58,52200,91.33
14:39:24,6038.56,52500,91.36
14:41:30,6164.4,53600,91.35
14:41:47,6180.95,53700,91.35
14:42:06,6200.08,53900,91.35
14:42:29,6223.69,54100,91.35
14:42:52,6246.32,54300,91.35
14:44:01,6315.45,54800,91.34
14:44:23,6337.0,55000,91.33
14:44:40,6354.55,55100,91.33
14:45:23,6396.98,55400,91.31
14:45:24,6398.01,55500,91.32
14:45:48,6422.51,55700,91.34
14:46:27,6461.83,56000,91.32
14:46:48,6482.78,56200,91.33
14:47:09,6503.79,56300,91.33
14:49:17,6631.56,57400,91.33
14:49:38,6652.32,57600,91.32
14:49:39,6653.36,57700,91.33
14:50:00,6674.21,57900,91.34
14:51:08,6742.21,58500,91.34
14:51:47,6781.18,58900,91.36
14:52:05,6799.78,59100,91.35
14:52:41,6835.58,59400,91.37
14:53:01,6855.1,59500,91.35
14:53:22,6876.0,59800,91.36
14:53:44,6898.3,60000,91.37
14:54:05,6919.88,60200,91.37
14:54:29,6942.91,60400,91.36
14:54:52,6966.64,60800,91.4
14:55:13,6987.62,60900,91.39
14:55:33,7007.57,61200,91.4
14:56:11,7045.39,61600,91.41
14:56:32,7066.28,61800,91.4
14:56:33,7067.32,61900,91.41
14:56:52,7086.28,62200,91.44
14:57:39,7133.47,62500,91.42
14:58:26,7179.93,63000,91.44
14:59:07,7220.94,63300,91.43
14:59:27,7241.72,63400,91.42
14:59:49,7263.01,63500,91.41
14:59:50,7264.04,63600,91.42
15:00:34,7308.47,64100,91.44
15:00:54,7328.29,64200,91.43
15:01:16,7350.16,64400,91.43
15:01:58,7392.45,64700,91.42
15:01:59,7393.49,64800,91.43
15:03:03,7457.81,65200,91.42
15:03:19,7473.66,65400,91.42
15:03:38,7492.62,65600,91.42
15:03:56,7510.09,65800,91.43
15:04:15,7529.37,65900,91.43
15:05:16,7590.06,66400,91.42
15:05:34,7608.18,66500,91.42
15:06:53,7687.52,67100,91.4
15:07:35,7729.69,67600,91.42
15:07:57,7751.41,67700,91.41
15:08:43,7797.35,68400,91.45
15:10:08,7882.7,69100,91.45
15:10:30,7904.41,69300,91.43
15:11:28,7962.85,69700,91.43
15:11:47,7981.63,69900,91.43
15:12:11,8004.98,70000,91.42
15:12:55,8048.92,70500,91.43
15:12:56,8049.95,70600,91.44
15:12:57,8050.98,70700,91.45
15:13:18,8072.87,70800,91.45
15:14:16,8130.61,71400,91.45
15:14:34,8148.27,71500,91.45
15:15:02,8176.05,71700,91.44
15:15:24,8198.45,71900,91.44
15:16:06,8240.45,72200,91.44
15:16:31,8265.38,72400,91.43
15:16:53,8287.75,72600,91.44
15:17:16,8310.67,72900,91.44
15:17:34,8328.52,73000,91.44
15:17:54,8348.64,73100,91.44
15:18:28,8382.15,73400,91.43
15:19:11,8425.33,73800,91.43
15:19:33,8447.73,74100,91.44
15:20:40,8514.19,74500,91.43
15:21:24,8558.81,74900,91.42
15:21:41,8575.57,75200,91.44
15:22:03,8597.15,75500,91.46
15:22:23,8617.33,75700,91.46
15:23:03,8657.19,76100,91.46
15:24:06,8719.93,76600,91.46
15:24:46,8760.71,76900,91.45
15:24:47,8761.75,77000,91.46
15:25:43,8817.15,77500,91.46
15:25:59,8833.71,77600,91.46
15:26:20,8854.57,77700,91.45
15:27:22,8916.59,78200,91.44
15:27:40,8934.59,78300,91.45
15:29:14,9028.46,79300,91.45
15:29:32,9045.95,79400,91.45
15:31:13,9147.05,80200,91.44
15:31:58,9192.75,80600,91.45
15:32:19,9213.04,80700,91.44
15:33:22,9276.23,81100,91.42
15:34:07,9321.64,81500,91.42
15:34:28,9342.72,81700,91.42
15:35:29,9403.1,82300,91.43
15:35:51,9424.96,82400,91.42
15:36:11,9445.13,82500,91.42
15:36:57,9490.95,82800,91.41
15:37:18,9511.96,82900,91.4
15:37:38,9531.98,83000,91.38
15:38:20,9574.33,83400,91.39
15:38:38,9592.55,83600,91.39
15:38:58,9612.64,83700,91.39
15:39:20,9634.21,84000,91.4
15:41:23,9757.27,85100,91.41
15:41:44,9778.07,85300,91.41
15:42:03,9797.71,85500,91.41
15:42:47,9841.51,85900,91.41
15:42:48,9842.55,86000,91.42
15:43:10,9864.51,86100,91.41
15:43:30,9884.84,86300,91.41
15:43:51,9905.37,86400,91.41
15:44:09,9923.06,86600,91.41
15:44:30,9944.22,86900,91.42
15:44:51,9965.75,87000,91.42
15:45:13,9987.87,87300,91.42
15:45:32,10005.96,87500,91.42
15:45:50,10024.44,87700,91.43
15:46:09,10043.75,87800,91.43
15:46:10,10044.78,87900,91.42
15:46:34,10068.57,88300,91.45
15:46:56,10090.22,88600,91.46
15:47:39,10133.77,89100,91.47
15:47:58,10151.99,89200,91.47
15:48:18,10172.49,89300,91.46
15:49:46,10260.31,89900,91.44
15:50:29,10302.92,90400,91.46
15:51:33,10367.47,90900,91.45
15:51:56,10390.66,91100,91.44
15:52:13,10407.35,91300,91.45
15:52:34,10428.27,91600,91.46
15:52:54,10448.22,91800,91.46
15:53:11,10465.02,92000,91.47
15:53:34,10488.1,92200,91.47
15:56:24,10658.67,93400,91.44
15:56:43,10677.61,93500,91.44
15:57:03,10697.83,93700,91.43
15:57:39,10733.66,94000,91.44
15:58:00,10754.38,94300,91.45
15:58:44,10798.0,94600,91.44
